ID,SALE_PRICE,LIVING_SQFT,LOG_LIVING,LIVING_SQ,TOT_FIN_SQFT,LOG_TOT_FIN,FBSMT_SQFT,LOG_FBSMT,BSMT_AREA,LOG_BSMT,BSMT_FIN_RATIO,LAND_SQFT,LOG_LAND,LAND_PER_LIVING,GRD_AREA,BLDG_AGE,LOG_AGE,AGE_SQ,EFF_AGE,LOG_EFF_AGE,BED_RMS,FULL_B,HLF_B,TOT_BATH,BATH_PER_BED,SQFT_PER_ROOM,STORY,IS_CONDO,EVER_REMOD,HAS_LAND,HAS_BSMT,HAS_FBSMT,HAS_GRD,IS_NEW,IS_HISTORIC,IS_STUDIO,NB_CAPITOL_HILL,NB_CENTRAL_PARK,NB_FIVE_POINTS,NB_HAMPDEN,NB_HAMPDEN_SOUTH,NB_HIGHLAND,NB_MARSTON,NB_MONTBELLO,NB_MONTCLAIR,NB_NORTH_PARK_HILL,NB_SLOAN_LAKE,NB_UNION_STATION,NB_WINDSOR,ST_2STORY,ST_END_UNIT,ST_MIDDLE_UNIT,ST_MULTILEVEL,ST_PARTIAL_STORY,SLP_CAPITOL_HILL,SLP_CENTRAL_PARK,SLP_FIVE_POINTS,SLP_HAMPDEN,SLP_HAMPDEN_SOUTH,SLP_HIGHLAND,SLP_MARSTON,SLP_MONTBELLO,SLP_MONTCLAIR,SLP_NORTH_PARK_HILL,SLP_SLOAN_LAKE,SLP_UNION_STATION,SLP_WINDSOR,SLP_CONDO,SLP_AGE_CONDO,SLP_LAND_SFR
773007,307275.0,1454,7.282073658093465,2.114116,1454,7.282073658093465,0,0.0,0,0.0,0.0,1500,7.313886831633462,1.031636863823934,0,1,0.6931471805599453,0.001,1.0,0.6931471805599453,3,2,1,2.5,0.8333333333333334,290.8,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.313886831633462
773803,232816.0,1347,7.205635176410364,1.814409,1347,7.205635176410364,0,0.0,0,0.0,0.0,2210,7.701200180857446,1.6406829992576095,0,1,0.6931471805599453,0.001,1.0,0.6931471805599453,3,2,1,2.5,0.8333333333333334,269.4,2.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,7.205635176410364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.701200180857446
774099,845090.0,1613,7.385851078125209,2.601769,2282,7.732807530422021,669,6.507277712385012,795,6.679599185844383,0.8415094339622642,2583,7.857093864902493,1.6013639181649102,0,0,0.0,0.0,0.0,0.0,2,3,1,3.5,1.75,322.6,2.0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,7.385851078125209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.857093864902493
775144,412500.0,2039,7.620214770574455,4.157521,2039,7.620214770574455,0,0.0,0,0.0,0.0,5607,8.631949428714426,2.7498773908778813,0,7,2.0794415416798357,0.049,7.0,2.0794415416798357,3,3,0,3.0,1.0,339.8333333333333,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.631949428714426
775422,205000.0,904,6.806829360392176,0.817216,904,6.806829360392176,0,0.0,0,0.0,0.0,0,0.0,0.0,0,41,3.7376696182833684,1.681,41.0,3.7376696182833684,2,2,0,2.0,1.0,226.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,6.806829360392176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.806829360392176,3.7376696182833684,0.0
776146,325000.0,726,6.587550014824796,0.527076,726,6.587550014824796,0,0.0,0,0.0,0.0,0,0.0,0.0,0,79,4.382026634673881,6.241,79.0,4.382026634673881,2,1,0,1.0,0.5,242.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.587550014824796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.587550014824796,4.382026634673881,0.0
777618,561000.0,2067,7.633853559681768,4.272489,2481,7.816416983691801,414,6.028278520230698,1367,7.221105098182496,0.30285296269202633,3483,8.155936337972394,1.6850507982583454,0,38,3.6635616461296463,1.444,0.0,0.0,2,2,1,2.5,1.25,516.75,2.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,7.633853559681768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.155936337972394
777676,460450.0,2111,7.65491704784832,4.456321,2818,7.943782692458625,707,6.56244409369372,1011,6.919683849847411,0.6993076162215628,10800,9.287394001418473,5.11605873993368,0,51,3.9512437185814275,2.601,2.0,1.0986122886681098,4,2,1,2.5,0.625,351.8333333333333,2.0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,7.65491704784832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.287394001418473
778091,766000.0,1740,7.461640392208575,3.0276,2411,7.787796878181171,671,6.51025834052315,721,6.582025138892826,0.9306518723994452,2600,7.8636512654486515,1.4942528735632183,0,0,0.0,0.0,0.0,0.0,3,3,1,3.5,1.1666666666666667,290.0,2.0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,7.461640392208575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8636512654486515
778453,597000.0,1306,7.174724309836376,1.705636,2506,7.826443135456014,1200,7.0909098220799835,1293,7.165493475060845,0.9280742459396751,6250,8.740496729931813,4.785604900459418,0,71,4.276666119016055,5.041,0.0,0.0,3,2,0,2.0,0.6666666666666666,261.2,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.174724309836376,0.0,0.0,0.0,0.0,0.0,0.0,8.740496729931813
778519,213000.0,931,6.836259277277067,0.866761,931,6.836259277277067,0,0.0,0,0.0,0.0,0,0.0,0.0,0,17,2.8903717578961645,0.289,17.0,2.8903717578961645,1,1,1,1.5,1.5,465.5,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.836259277277067,2.8903717578961645,0.0
778930,375000.0,1149,7.046647277848756,1.320201,1149,7.046647277848756,0,0.0,0,0.0,0.0,6752,8.817742129574842,5.876414273281114,441,41,3.7376696182833684,1.681,41.0,3.7376696182833684,4,2,0,2.0,0.5,191.5,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7.046647277848756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.817742129574842
778954,315000.0,1164,7.059617628291383,1.354896,1164,7.059617628291383,0,0.0,0,0.0,0.0,5971,8.69483715865908,5.129725085910653,0,19,2.995732273553991,0.361,19.0,2.995732273553991,3,2,0,2.0,0.6666666666666666,232.8,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69483715865908
779381,385000.0,1979,7.590346945602565,3.916441,1979,7.590346945602565,0,0.0,0,0.0,0.0,0,0.0,0.0,0,45,3.828641396489095,2.025,14.0,2.70805020110221,2,2,0,2.0,1.0,494.75,2.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,7.590346945602565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.590346945602565,3.828641396489095,0.0
